Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Included / International,Price / International,Compare At Price / International,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
little-krishna,little krishna,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'23807003443246679877,0.0,,deny,manual,19.43,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/little-krishna.jpg?v=1686292766,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
little-krishna,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/little-krishna_ae20efb0-e0fe-4f8a-b6b3-56ad764a8d6b.jpg?v=1686292766,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucifer,lucifer,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'21777968598422263727,0.0,,deny,manual,19.43,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/lucifer.jpg?v=1686290175,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
lucifer,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/lucifer_75b7e347-f583-44f1-a756-9bf8bfaee4db.jpg?v=1686290175,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
skull,skull,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,M,,,,,'19660235284489207591,0.0,,deny,manual,30.32,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/skull.jpg?v=1686648393,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
skull,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/skull_fa1447ad-89d0-4def-a179-4cb0c5811bcd.jpg?v=1686648393,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiderman-1,spiderman,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'26598518041594931362,0.0,,deny,manual,31.12,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_e62e3cc4-2ff8-4ecd-a586-31754984775c.jpg?v=1686749954,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
spiderman-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_539d8b77-6748-429a-8ab6-c7e00ed1285a.jpg?v=1686749954,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiderman-2,spiderman,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'28616685370520640944,0.0,,deny,manual,31.12,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_1d057c50-fc2d-4ebd-ab65-4ca6b666083b.jpg?v=1686896481,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
spiderman-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_958dbd77-dfa6-48f2-9105-6029b8086e41.jpg?v=1686896481,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiderman-3,spiderman,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'10311805813371247411,0.0,,deny,manual,31.12,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_02ddb8fd-49eb-4956-8017-2cf00b3c6449.jpg?v=1686988035,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
spiderman-3,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_786c6550-eea9-491e-8acc-063146054277.jpg?v=1686988035,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiderman-4,spiderman,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,L,,,,,'11443004480239958825,0.0,,deny,manual,31.12,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_1fba05c1-4dcf-40a7-a644-546f054234ed.jpg?v=1686989276,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
spiderman-4,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_06e3be75-4599-49f8-b2d7-481c64a186e2.jpg?v=1686989276,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiderman,spiderman,<strong>Ai T-shirt</strong>,Printify,,T-shirt,hidden,true,Size,S,,,,,'14197497911843728412,0.0,,deny,manual,29.29,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman.jpg?v=1686995020,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
spiderman,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_e58789a7-8e80-4f2e-b395-f2f1f3ca435c.jpg?v=1686995020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiderman-5,spiderman,<strong>Ai T-shirt</strong>,Printify,,T-shirt,hidden,true,Size,XL,,,,,'21532317918092546679,0.0,,deny,manual,31.33,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_b0f43ca0-368b-464f-afb9-5d05be268262.jpg?v=1687351681,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
spiderman-5,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/spiderman_d68ffdac-ceae-405b-a928-d93c7b8bea44.jpg?v=1687351681,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
test-product-5,Test Product 3,<strong>Good snowboard!</strong>,Burton,,Snowboard,"",true,Title,First,,,,,'123,0.0,,deny,manual,10.00,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/44731bd4-7bc3-445d-b233-c9dc1e471f5c-0_a789ee13-74c9-42e4-b991-f811cc1aa1d9.png?v=1685691988,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
test-product-5,,,,,,,,,Second,,,,,'123,0.0,,deny,manual,20.00,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/44731bd4-7bc3-445d-b233-c9dc1e471f5c-3_d3ca8ada-972b-45d1-9d8f-2214741e02ab.png?v=1685691988,2,,,,,,,,,,,,,,,,,kg,,,,,,,,,,
